EDUC,EXPE,EDSUP,MUJER,SALARIO
17,8,1,1,7.902299
0,51,0,1,14.48276
10,19,0,0,10.29989
10,27,0,1,6.606514
14,14,0,1,9.507203
17,8,1,1,6.827241
14,9,0,1,7.098143
12,7,0,0,5.279885
14,14,0,0,8.474024
15,16,1,1,13.8562
15,13,1,1,8.076264
10,16,0,0,9.2389
10,14,0,1,7.687184
12,14,0,1,4.615303
10,17,0,1,4.710673
10,32,0,0,9.453851
10,14,0,0,5.446897
17,15,1,1,11.34339
6,26,0,0,9.325976
12,35,0,1,20.27648
10,35,0,0,8.660689
14,15,0,1,6.974368
15,11,1,1,6.806308
18,10,1,1,10.81804
6,30,0,0,6.389138
10,39,0,0,12.35874
15,29,1,1,25.30609
17,7,1,1,9.01445
15,35,1,0,12.39858
12,5,0,1,6.101065
6,22,0,1,6.637736
12,14,0,0,8.715919
12,15,0,0,7.736238
17,19,1,0,14.85616
6,18,0,0,6.127701
10,11,0,1,10.71171
0,31,0,0,13.45391
12,6,0,1,5.701149
10,29,0,1,9.420337
17,18,1,0,11.34783
6,16,0,1,7.5
17,41,1,0,15.54923
10,16,0,0,7.387299
14,25,0,0,19.16981
10,29,0,1,7.985862
10,32,0,0,9.582989
15,22,1,0,42.05662
10,19,0,1,6.708646
10,14,0,1,10.27109
14,16,0,0,9.112988
6,18,0,0,6.043941
10,5,0,0,5.966724
12,13,0,0,10.62673
12,12,0,1,6.330748
12,19,0,1,8.098636
10,16,0,1,7.309589
6,33,0,0,8.369623
15,24,1,1,6.396207
6,48,0,0,7.369368
17,38,1,0,5.997923
17,20,1,1,14.81911
10,23,0,1,6.526102
12,23,0,1,5.461977
10,23,0,1,9.121899
14,15,0,0,11.91414
15,34,1,1,11.01071
17,6,1,1,6.439023
12,7,0,0,11.74793
17,16,1,0,19.66531
15,21,1,1,13.07365
15,12,1,0,13.07138
10,22,0,0,14.21316
10,27,0,0,11.81661
12,18,0,1,16.70384
12,28,0,1,7.032126
18,7,1,0,20.45569
15,5,1,0,8.381207
12,41,0,0,19.42757
10,38,0,1,12.23475
10,36,0,1,8.371264
12,33,0,0,24.81414
10,45,0,0,13.50506
17,15,1,0,18.18954
10,15,0,0,8.081149
17,14,1,1,17.15058
10,18,0,0,10.31295
6,26,0,0,6.91092
6,35,0,1,5.842988
15,19,1,1,9.142694
15,14,1,1,13.45714
15,20,1,0,5.67408
12,33,0,0,9.36638
12,24,0,0,18.01782
12,27,0,0,15.05184
17,38,1,0,6.16226
17,22,1,1,15.84027
10,18,0,0,7.28728
15,5,1,1,8.115709
12,32,0,1,10.81195
12,31,0,1,7.503579
15,0,1,0,6.961782
6,15,0,0,8.033563
17,14,1,1,12.60348
17,9,1,0,4.927768
12,6,0,1,11.06247
6,32,0,0,6.709367
12,13,0,0,8.411379
10,38,0,0,9.335
6,40,0,0,10.67374
17,19,1,1,14.06596
14,19,0,1,6.078448
17,13,1,1,5.770056
17,29,1,0,77.355
12,12,0,1,7.471206
15,37,1,0,32.4867
17,22,1,1,25.12435
10,9,0,0,6.246095
10,25,0,0,7.993448
6,23,0,0,7.498276
17,12,1,0,26.51657
0,44,0,0,42.56506
10,24,0,1,9.611594
14,5,0,1,8.503262
6,16,0,1,5.617356
12,21,0,0,12.30316
12,23,0,0,16.98391
17,12,1,1,10.71327
10,10,0,1,4.121666
6,30,0,1,13.43006
10,33,0,0,10.90456
17,19,1,0,24.33684
12,25,0,1,10.33898
12,21,0,0,10.29701
14,7,0,1,6.085134
6,40,0,0,11.07621
14,5,0,0,8.509483
17,7,1,0,4.597701
10,39,0,1,9.343354
6,21,0,1,5.854483
6,16,0,0,6.81908
10,28,0,0,10.51842
6,40,0,1,6.981782
12,28,0,1,5.911035
15,9,1,0,8.060575
12,22,0,0,16.77517
6,42,0,1,7.39523
14,11,0,1,11.38023
15,11,1,0,7.095699
18,8,1,1,40.55588
6,33,0,0,10.09626
15,2,1,0,7.688965
17,13,1,1,26.07281
6,44,0,0,14.06856
17,5,1,0,12.97937
12,9,0,1,8.517299
10,24,0,1,7.995271
10,24,0,1,12.02942
10,19,0,0,7.319953
6,14,0,0,9.855604
14,25,0,0,11.17806
12,22,0,0,11.44446
15,16,1,1,13.88414
17,21,1,0,9.177293
12,17,0,1,5.90823
12,24,0,1,6.72776
6,28,0,1,5.285706
14,13,0,0,15.5142
17,15,1,0,44.24736
15,14,1,1,10.3101
12,8,0,0,11.90281
12,3,0,1,4.651035
12,40,0,0,25.60351
10,28,0,0,9.414023
6,45,0,1,7.563505
14,15,0,0,15.8331
6,41,0,1,13.16626
10,23,0,0,7.778736
15,33,1,1,19.07774
15,18,1,1,7.492126
6,44,0,0,9.821839
6,25,0,1,10.15669
17,2,1,0,12.21691
10,18,0,0,7.401149
15,27,1,0,13.1982
10,13,0,0,5.643276
12,41,0,1,9.021774
0,45,0,0,7.301554
14,6,0,1,5.205862
12,28,0,1,13.26542
10,5,0,1,4.644655
17,2,1,1,9.896856
15,14,1,0,13.55676
14,18,0,0,12.09471
12,14,0,1,12.22914
12,38,0,0,9.035139
12,16,0,1,5.093966
15,27,1,0,12.10442
10,25,0,0,7.654828
15,18,1,0,13.23201
12,25,0,1,6.091954
14,12,0,0,11.98459
17,17,1,1,27.50477
10,16,0,1,8.755805
12,10,0,1,7.398586
17,12,1,0,19.69569
14,27,0,0,12.75832
14,2,0,0,7.686
14,9,0,0,10.29649
12,40,0,1,16.08719
14,13,0,0,20.55615
6,27,0,1,6.41504
6,34,0,0,13.04537
6,20,0,0,5.734655
6,22,0,0,8.346092
10,38,0,1,6.03435
17,33,1,0,13.49927
6,27,0,0,6.207184
12,13,0,0,7.191724
6,32,0,0,6.597736
17,14,1,1,18.48388
17,20,1,1,16.54943
17,10,1,0,12.21378
12,26,0,0,8.68592
17,21,1,1,26.73442
12,7,0,0,7.525045
17,7,1,0,10.33828
6,34,0,0,15.20236
12,13,0,1,7.190589
15,18,1,1,9.553103
10,33,0,0,13.65615
14,44,0,1,9.919606
0,57,0,0,8.941854
17,21,1,0,24.68242
12,21,0,1,10.97035
15,14,1,1,13.20417
15,14,1,0,8.837183
12,19,0,0,8.753844
15,17,1,0,15.8015
10,12,0,0,8.519023
6,35,0,0,7.243965
14,5,0,0,8.821839
10,40,0,0,7.210575
10,23,0,0,8.336967
12,28,0,1,11.40269
10,35,0,1,12.66824
15,20,1,0,19.70443
12,16,0,0,7.372356
12,42,0,0,7.837931
12,19,0,1,10.52368
15,9,1,1,8.908046
12,28,0,0,19.96695
6,25,0,0,6.465173
10,5,0,0,7.03592
17,18,1,0,15.80066
10,26,0,1,5.676495
14,24,0,0,15.7419
12,14,0,0,5.821724
6,37,0,1,7.690862
17,21,1,0,34.38136
12,31,0,1,4.976983
10,47,0,1,7.372758
15,40,1,0,13.71475
15,14,1,1,9.797815
14,31,0,1,7.602012
6,18,0,1,5.699368
12,37,0,1,6.809437
15,7,1,1,5.468219
14,2,0,0,7.437701
12,12,0,1,7.485345
10,26,0,0,7.048563
15,34,1,0,18.37931
12,18,0,0,10.64739
15,12,1,1,10.41034
12,13,0,0,7.712874
6,24,0,0,10.34483
17,7,1,0,9.441724
10,28,0,0,9.791401
10,14,0,0,6.487706
6,51,0,0,7.798218
15,20,1,0,36.40724
6,26,0,0,8.441839
17,29,1,0,54.47192
17,26,1,0,17.44828
17,13,1,1,12.86257
17,23,1,1,25.98718
10,41,0,0,5.097241
6,44,0,0,16.59895
0,17,0,0,6.631724
